account_name,manual_label,manual_label_no_collision_rule,tier,coding_basis,bp,bp_side,links_history,posts_history,posts_in_sample
UOL Notícias,Center,Center,Tier 1 (media),documented editorial line,-0.029448054494854135,Center,288,358,252
UOL,Center,Center,Tier 1 (media),documented editorial line,-0.01343489389216239,Center,263,341,258
Terra,Center,Center,Tier 1 (media),documented editorial line,-0.1734765747545401,Center,197,197,93
A Gazeta Petista,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8194679170743493,Left,152,317,43
GRUPO OLAVO DE CARVALHO,Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.5280073430914781,Right,123,230,36
"Todos contra a ""globo"" e todos a favor do Lula.",Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8285254470321798,Left,117,224,40
#A GAZETA ESQUERDISTA CONTRA O COISO,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8333053915593035,Left,108,163,25
LULA LÁ BRILHA UMA ESTRELA,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8074062769906534,Left,95,152,20
Grupo do Movimento Brasil à Direita,Right,Right,Tier 2 (avowed),avowed right identity in page title,0.5803228234122423,Right,88,151,27
União das Esquerdas,Left,Left,Tier 2 (avowed),avowed left identity in page title,-0.8233068403039518,Left,85,128,14
BOLSONARO O MELHOR PRESIDENTE,Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.4501588196618898,Right,67,96,15
Brasil Contra Jair Bolsonaro,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.7939725890355415,Left,59,64,55
LULA INOCENTE  NOSSO PRESIDENTE,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8414442594481097,Left,59,88,9
GRUPO DE APOIO À OPERAÇÃO LAVA JATO - JUIZ SÉRGIO MORO,Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.34994096167759264,Right,57,78,10
A Privataria Tucana,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8007117318992921,Left,56,75,39
GRUPO DE APOIO AO  GOVERNO DO BOLSONARO PRESIDENTE DO BRASIL,Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.41257860925965495,Right,54,82,13
Catraca Livre,Left,Left,Tier 1 (media),documented editorial line,-0.7025685221487487,Left,53,105,95
Gazeta do Povo,Right,Right,Tier 1 (media),documented editorial line,0.6381946894242867,Right,52,59,20
Poder360,Center,Center,Tier 1 (media),documented editorial line,0.03283966408575474,Center,51,51,9
FORA BOLSONARO!!,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8837164252890222,Left,48,75,12
MULHERES COM BOLSONARO ALIANÇA PELO BRASIL [OFICIAL],Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.5890193469700924,Right,44,64,15
Bolsonaro Opressor 2022,Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.35907927396916567,Right,41,54,13
iG,Center,Center,Tier 1 (media),documented editorial line,0.32003468072730074,Right,41,41,19
Mídia NINJA,Left,Left,Tier 1 (media),documented editorial line,-0.8789407086780769,Left,39,41,30
Curitiba Contra o PT,Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.5999999850000001,Right,37,52,7
Time Ciro Gomes,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.5615193869027448,Left,35,40,30
Correio Braziliense,Center,Center,Tier 1 (media),documented editorial line,0.04432855083810847,Center,34,34,15
LULA PELA DEMOCRACIA,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.6984126780885195,Left,34,44,7
O Povo,Center,Center,Tier 1 (media),documented editorial line,-0.08934707637683392,Center,32,78,22
🇧🇷 Brasil direita Patriota 🇧🇷,Right,Right,Tier 2 (avowed),avowed right identity in page title,0.7398779622660083,Right,32,46,10
"Na dúvida, siga à esquerda",Left,Left,Tier 2 (avowed),avowed left identity in page title,-0.7227138394346262,Left,31,35,25
The Intercept glenn greenwald vazajato,Left,Left,Tier 1 (media),documented editorial line,-0.7420494479391678,Left,31,42,4
Blog do Josias,Center,Center,Tier 1 (media),documented editorial line,-0.2054794414993434,Center,30,30,27
Fora Bolsonaro,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.7250280306947768,Left,30,35,18
O Globo,Center,Center,Tier 1 (media),documented editorial line,-0.5357142617984696,Left,30,30,16
BBC News Brasil,Center,Center,Tier 1 (media),documented editorial line,0.40886698462562815,Right,29,83,82
Bolsonaro Herói Nacional,Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.6226414852038095,Right,28,33,28
Lula Presidente do Brasil,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.7304347470396979,Left,27,29,20
Sergio Moro 🇧🇷,Right,Right,Tier 1 (actor),names a right actor / opposes a left actor,0.15228425622922537,Center,27,30,13
APOIO A VOLTA DO LULA,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.9461234968167274,Left,26,40,8
Grupo Esquerda do Brasil,Left,Left,Tier 2 (avowed),avowed left identity in page title,-0.6906474555147251,Left,26,32,1
Lula,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8824531238068428,Left,26,37,15
Conservadores de Direita Tradicionais,Right,Right,Tier 2 (avowed),avowed right identity in page title,0.4225351914302721,Right,25,30,6
Esquerda Revolucionária,Left,Left,Tier 2 (avowed),avowed left identity in page title,-0.684365752438632,Left,25,29,23
BLOG DA DILMA PT,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.732203356322896,Left,24,27,3
Quebrando o Tabu,Left,Left,Tier 1 (media),documented editorial line,-0.614754066867106,Left,24,25,17
Brasil Conservador,Right,Right,Tier 2 (avowed),avowed right identity in page title,0.6809338190207272,Right,23,25,18
PT - O Partido de Todas as Lutas,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.9205479098967912,Left,23,28,1
#LulaLivre,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.9286675264333423,Left,22,30,5
Corrupção é com a PRIVATARIA TUCANA,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.9491524994733314,Left,21,24,2
Gazeta do Povo - Paraná,Right,Right,Tier 1 (media),documented editorial line,0.7187499630998887,Right,21,23,1
Blog da Maria Frô,Left,Left,Tier 1 (media),documented editorial line,-0.8695651729122651,Left,20,20,3
CIRO GOMES VIRAL,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.6213017365463399,Left,20,21,1
David Miranda,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.5675675317750187,Left,20,21,14
Ele Não,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.5405405040175317,Left,20,20,10
MOVIMENTO DIREITA E LIBERDADE,Right,Right,Tier 2 (avowed),avowed right identity in page title,0.5220883261560301,Right,20,26,3
Patriotas Brasil,Right,Right,Tier 2 (avowed),avowed right identity in page title,0.42253518151160546,Right,20,20,5
Dilma Resistente,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8749999574652778,Left,19,21,16
INTERVENÇÃO MILITAR CONSTITUCIONAL  JÁ !,Right,Right,Tier 2 (avowed),avowed right identity in page title,0.7197696391665226,Right,19,25,4
Bolsonaro: aqui não,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.6551723708680147,Left,18,19,12
Eu voto Haddad e Lula me pergunte por quê,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.7909604072903702,Left,17,20,6
Margarida Salomão,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.8260869110270952,Left,17,19,7
Jornal O Dia,Center,Center,Tier 1 (media),documented editorial line,0.09580837405428694,Center,16,16,4
Lulista - PT - @,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.9911503723079339,Left,16,16,2
PT Paulista,Left,Left,Tier 1 (actor),names a left actor / opposes a right actor,-0.799999946666667,Left,16,16,7
"PATRIOTAS EM AÇÃO, CURITIBA",Right,Right,Tier 2 (avowed),avowed right identity in page title,0.5095785069655473,Right,15,19,3
