model,term,predicted_ci_at_means,predicted_ci_plus_1sd,delta_ci_points,one_sd_in_raw_units,one_sd_as_factor
A3,rph_link,0.8235677206697848,0.8372490389137652,1.3681318243980445,0.4314506482787382,NA
A3,rph_user,0.8235677206697848,0.833071333633045,0.9503612963260188,0.5992102565153696,NA
A3,rph_delta,0.8235677206697848,0.7995405903161524,-2.4027130353632353,0.26914196641086413,NA
A3,toxicity,0.8235677206697848,0.800255947300152,-2.331177336963275,0.1570515327225278,NA
A3,reaction_score,0.8235677206697848,0.9242316858054926,10.066396513570785,0.15998613489461663,NA
A3,log_total_reactions,0.8235677206697848,0.8056017145021003,-1.7966006167684512,1.5866604548389187,4.887399951589359
A3,log_author_links,0.8235677206697848,0.8102338554417083,-1.3333865228076447,1.6871478099530393,5.404045338967083
C,content_leaning,0.8228410712478308,0.8447376191271853,2.1896547879354467,0.4314506482787382,NA
C,content_extremity,0.8228410712478308,0.8331520942973478,1.0311023049517032,0.2346613166536162,NA
C,publisher_leaning,0.8228410712478308,0.8368316945339852,1.3990623286154413,0.5992102565153696,NA
C,publisher_extremity,0.8228410712478308,0.8388109422545559,1.596987100672509,0.33457387477017597,NA
C,rph_delta,0.8228410712478308,0.7962077267724347,-2.6633344475396115,0.26914196641086413,NA
C,toxicity,0.8228410712478308,0.8001122325516152,-2.272883869621556,0.1570515327225278,NA
C,reaction_score,0.8228410712478308,0.9231917357967057,10.035066454887486,0.15998613489461663,NA
C,log_total_reactions,0.8228410712478308,0.8054273164516103,-1.7413754796220537,1.5866604548389187,4.887399951589359
C,log_author_links,0.8228410712478308,0.8122291040247701,-1.061196722306068,1.6871478099530393,5.404045338967083
