term,estimate,conf.low,conf.high,orig_estimate,d_vs_original,pub_estimate,pub_conf.low,pub_conf.high,d_estimate,d_conf.low,d_conf.high,agrees
(Intercept),1.645,1.575,1.715,1.6453399711760919,0,1.645,1.575,1.715,0,0,0,TRUE
rph_link,0.095,0.032,0.157,0.09454719940018887,0,0.095,0.032,0.157,0,0,0,TRUE
rph_user,0.073,0.018,0.128,0.0731496031709376,0,0.073,0.018,0.128,0,0,0,TRUE
rph_delta,-0.158,-0.195,-0.12,-0.15764962746686192,0,-0.158,-0.195,-0.12,0,0,0,TRUE
toxicity,-0.151,-0.199,-0.103,-0.15071588122316412,0,-0.151,-0.199,-0.103,0,0,0,TRUE
reaction_score,0.968,0.906,1.03,0.9677858132189611,0,0.966,0.904,1.029,0.0020000000000000018,0.0020000000000000018,0.001000000000000112,FALSE
Economy,0.034,-0.045,0.114,0.034072375218137094,0,0.034,-0.045,0.114,0,0,0,TRUE
Education,0.119,0.039,0.2,0.11930013172471758,0,0.119,0.039,0.2,0,0,0,TRUE
Health,-0.106,-0.2,-0.013,-0.10625603983155701,0,-0.106,-0.2,-0.013,0,0,0,TRUE
Security,0.073,-0.028,0.174,0.0729597066659099,0,0.073,-0.028,0.174,0,0,0,TRUE
Culture,-0.102,-0.211,0.007,-0.10199627782298426,0,-0.102,-0.211,0.007,0,0,0,TRUE
Religion,-0.016,-0.097,0.064,-0.016490126186255206,0,-0.016,-0.097,0.064,0,0,0,TRUE
Disinformation,-0.077,-0.17,0.017,-0.07655084694013019,0,-0.077,-0.17,0.017,0,0,0,TRUE
Election,-0.016,-0.115,0.082,-0.016132250199669938,0,-0.016,-0.115,0.082,0,0,0,TRUE
Politics,0.102,-0.009,0.213,0.10204936639059801,0,0.102,0.009,0.213,0,-0.018,0,FALSE
Corruption,-0.002,-0.106,0.102,-0.0017393435435974888,0,0.002,-0.106,0.102,-0.004,0,0,FALSE
